NAZWA_CREO,                        NUMER,                            NAZWA,                                   ILOSC, TYP , MATERIAL,             OBROBKA_CIEPLNA,           OBROBKA_POWIERZCHNI,                      UWAGI,
MSB9_1_C2_F1_J73-WP-H9          ,                                 ,                                        ,  2   , RT , ,                          ,                                         ,                          ,
MSB9_1_C2_F1_J73-WP-H10         ,                                 ,                                        ,  1   , RT , ,                          ,                                         ,                          ,
MSB9_1_C2_F1_J73-WP-H11         ,                                 ,                                        ,  1   , RT , ,                          ,                                         ,                          ,
MSB9_1_C2_F1_J73-WP-H12         ,                                 ,                                        ,  1   , RT , ,                          ,                                         ,                          ,
MSB9_1_C2_F1_J73-WP-H14         ,                                 ,                                        ,  1   , RT , ,                          ,                                         ,                          ,
MSB6_1_2_D15_F1_WP-H            , MSB6-1/2:D15:F1-WP              , Zespół przygotowania powietrza(531030) ,  2   , -H , ,                          ,                                         , Festo                    ,
MSB6_1_2_D15_F1_WP-H1           ,                                 ,                                        ,  2   , RT , ,                          ,                                         ,                          ,
MSB6_1_2_D15_F1_WP-H2           ,                                 ,                                        ,  2   , RT , ,                          ,                                         ,                          ,
MSB6_1_2_D15_F1_WP-H3           ,                                 ,                                        ,  2   , RT , ,                          ,                                         ,                          ,
MSB6_1_2_D15_F1_WP-H4           ,                                 ,                                        ,  2   , RT , ,                          ,                                         ,                          ,
MSB6_1_2_D15_F1_WP-H5           ,                                 ,                                        ,  2   , RT , ,                          ,                                         ,                          ,
M12_PROSTA_BALLUFF              ,                                 , Wtyczka prosta M12                     ,  3 , ,                          ,                                         , kat. Balluff             ,
EZ_03_013_100-ZLACZKA_G1-H      , EZ/03/013/100                   , Złączka kątowa GZ G1                   ,  2   , -H , ,                          ,                                         , Hafner                   ,
EZ_03_001_100-NYPEL_G1-H        , EZ/03/001/100                   , Nypel G1                               ,  1   , -H , ,                          ,                                         , Hafner                   ,
253_66-ES-CZWORNIK_GW1-H        , 253.66-ES                       , Czwórnik GW G1                         ,  1   , -H , ,                          ,                                         , Pneumat                  ,
EZ_03_009_100_012-REDUKCJA-H    , EZ/03/009/100/012               , Redukcja G1Z-G1/2W                     ,  5   , -H , ,                          ,                                         , Hafner                   ,
EZ_03_005_012_12-REDUKCJA-H     , EZ/03/005/012/12                , Redukcja G1/2-G1/2                     ,  1   , -H , ,                          ,                                         , Hafner                   ,
153011-QS_1_2_16-H              , 153011                          , QS-1/2-16                              ,  2   , -H , ,                          ,                                         , FESTO                    ,
153055-QSL_1_2_16-H             , 153055                          , QSL-1/2-16                             ,  3   , -H , ,                          ,                                         , FESTO                    ,
EZ_03_013_012-ZLACZKA_GZ1_2-H   , EZ/03/013/012                   , Złączka kątowa GZ G1/2                 ,  6   , -H , ,                          ,                                         , Hafner                   ,
EZ_03_021_100-TROJNIK_G1-H      , EZ/03/021/100                   , Trójnik GZ/GW G1                       ,  1   , -H , ,                          ,                                         , Hafner                   ,
EZ_03_011_100-MUFA_G1-H         , A/SZ/M/DN72/GZ12                , Szybkozłącze G1/2                      ,  3   , -H , ,                          ,                                         , Hafner                   ,
SPAU-P12R-W-Q6D-LK-A-M1-C_CIS-H , SPAU-P12R-W-Q6D-LK-A-M12U       , Czujnik ciśnienia (8001200)            ,  1   , -H , ,                          ,                                         , Festo                    ,
EZ_03_034_100-KOREK-H           , EZ/03/034/100                   , Korek G1''                             ,  1   , -H , ,                          ,                                         , Hafner                   ,
EZ_03_011_012-MUFA_G1_2-H       , EZ/03/011/012                   , Mufa G1/2                              ,  6   , -H , ,                          ,                                         , Hafner                   ,
EZ_03_009_012_038-REDUKCJA-H    , EZ/03/009/012/038               , Redukcja G1/2Z-G3/8W                   ,  6   , -H , ,                          ,                                         , Hafner                   ,
153053-QSL_3_8_12-H             , 153053                          , QSL-3/8-12                             ,  4   , -H , ,                          ,                                         , FESTO                    ,
EZ_03_034_038-KOREK-H           , EZ/03/034/038                   , Korek G3/8                             ,  2   , -H , ,                          ,                                         , Hafner                   ,
EZ_04_006_100_25-KROCIEC-H      , EZ/04/006/100/25                , Króciec G1                             ,  1   , -H , ,                          ,                                         , Hafner                   ,
ISO7380_2-M8X16-N               , ISO 7380-2                      , Śruba kołnierzowa M8x16/10.9 ocynk     ,  13  , -N , ,                          ,                                         , Fabory                   ,
ISO7380-M5X6-N                  , ISO 7380-1                      , Śruba soczewkowa M5x6/10.9 ocynk       ,  4   , -N , ,                          ,                                         , Fabory                   ,
ISO7380_2-M6X16-N               , ISO 7380-2                      , Śruba kołnierzowa M6x16/10.9 ocynk     ,  18  , -N , ,                          ,                                         , Fabory                   ,
36320-M8_TYP_M-N                , 36320-typ M                     , Podkładka talerzykowa M8 typ M         ,  4   , -N , ,                          ,                                         , Fabory                   ,
DIN912-M8X20_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M8x20/8.8 ocynk          ,  4   , -N , ,                          ,                                         , kat. Fabory              ,
ISO7380-M3X8-N                  , ISO 7380-1                      , Śruba soczewkowa M3x8/10.9 ocynk       ,  2   , -N , ,                          ,                                         , Fabory                   ,
36320-M6_TYP_M-N                , 36320-typ M                     , Podkładka talerzykowa M6 typ M         ,  10  , -N , ,                          ,                                         , Fabory                   ,
DIN912-M6X16_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M6x16/8.8 ocynk          ,  26  , -N , ,                          ,                                         , kat. Fabory              ,
EZ_03_009_012_018-REDUKCJA-H    , EZ/03/009/012/018               , Redukcja G1/2Z-G1/8W                   ,  1   , -H , ,                          ,                                         , Hafner                   ,
153046-QSL_1_8_6-H              ,                                 ,                                        ,  1 , ,                          ,                                         ,                          ,
A_SZ_M_DN72_GZ12-SZYBKOZLACZE-H , EZ/03/011/100                   , Mufa G1                                ,  1   , -H , ,                          ,                                         , Hafner                   ,
IX24_02010003AL-OSL_BOCZ_SZAF-L , IX24.02.01.00.03AL              , OSL_BOCZ_SZAF                          ,  1   , -L , S235JR              , Brak / None              , Malować proszkowo / Powder coat         ,                          ,
EZ_03_030_014_018_3-KOLEKTOR-H  , EZ/03/030/014/018/3             , Kolektor                               ,  1   , -H , ,                          ,                                         , Hafner                   ,
IX24_02010010-OSLONA_PRAWA-L    , IX24.02.01.00.10                , OSLONA_PRAWA                           ,  1   , -L , AW5754              , Brak / None              , Malować proszkowo / Powder coat         ,                          ,
IX24_02010011-OSLONA_LEWA-L     , IX24.02.01.00.11                , OSLONA_LEWA                            ,  1   , -L , AW5754              , Brak / None              , Malować proszkowo / Powder coat         ,                          ,
KDS100H60_L2000-KOR-H           , KDS100H60.L2.00.0-.             , Koryto siatkowe 100x60 - L=2000        ,  1   , -H , Stal                , Brak                     , Brak                                    , kat. BAKS                ,
IX24_02010012-OSLONA_DOLNA-L    , IX24.02.01.00.12                , OSLONA_DOLNA                           ,  1   , -L , S235JR              , Brak / None              , Malować proszkowo / Powder coat         ,                          ,
IX24_02020101-BLAT_KONSTR-F     , IX24.02.02.01.01                , BLAT_KONSTR                            ,  1   , -F , AW5083              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02020102-MOC_SILOW-F       , IX24.02.02.01.02                , MOC_SILOW                              ,  1   , -F , AW5083              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
IX24_02020103-DYSTANS_WOZKOW-F  , IX24.02.02.01.03                , DYSTANS_WOZKOW                         ,  1   , -F , AW2017              , Brak / None              , Zmatowić / Matt                         ,                          ,
HGW15CC-WOZEK-H                 , HGW15CC                         , Wozek                                  ,  2   , -H , ,                          ,                                         , HiWin                    ,
536203-ADN_12_300_A_P_A-H       , ADN-12-300-A-P-A                , Siłownik(536203)                       ,  1   , -H , ,                          ,                                         , Festo                    ,
536203-ADN_12_300_A_P_A-H2      ,                                 ,                                        ,  1   , -H2 , ,                          ,                                         ,                          ,
FK-M5-SPRZEGLO-H                , FK-M5                           , Sprzęgło elastyczne (30984)            ,  1   , -H , ,                          ,                                         , Festo                    ,
193139-GRLA_M5_QS_6_D-H         , GRLA-M5-QS-6-D                  , Dławik(193139)                         ,  6   , -H , ,                          ,                                         , FESTO                    ,
EZ_03_014_M5-ZLACZKA_KAT_M5-H   , EZ/03/014/M5                    , Złączka kątowa - GZ/GW M5              ,  1   , -H , ,                          ,                                         , Hafner                   ,
IX24_02020104-ZDERZ_ROZSEP_1-F  , IX24.02.02.01.04                , ZDERZ_ROZSEP_1                         ,  1   , -F , AW2017              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
