NAZWA_CREO,                        NUMER,                            NAZWA,                                   ILOSC, TYP , MATERIAL,             OBROBKA_CIEPLNA,           OBROBKA_POWIERZCHNI,                      UWAGI,
DIN7991-M2_5X6_109_OC-N         , PN-EN ISO 10642                 , Śruba stożkowa M2.5x6/nierdzewna       ,  2   , -N , SSIGNED             ,                          ,                                         ,                          ,
DIN7991-M5X12_109_OC-N          , PN-EN ISO 10642                 , Śruba stożkowa M5x12/10.9 ocynk        ,  3   , -N , ,                          ,                                         , Fabory                   ,
DIN912-M5X12_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M5x12/8.8 ocynk          ,  4   , -N , ,                          ,                                         , Fabory                   ,
IX24_02020001-PRZEGRODA-L       , IX24.02.02.00.01                , PRZEGRODA                              ,  1   , -L , ,                          ,                                         , Fabory                   ,
BNI005U-KONC-H                  , BNI005U                         , Modul IO-Link                          ,  1   , -H , ,                          ,                                         , kat. Fabory              ,
VUVG_L10_P53C_T_M7_1R8L-ZAW-H   , 574223                          , Zawor 5/3                              ,  2   , -H , AW5754              , Spawać / Weld            , Zaczyścić włókniną / Satin wheel pad    ,                          ,
VUVG_L10_P53C_T_M7_1R8L-ZAW-H2  ,                                 ,                                        ,  4   , H2 , ,                          ,                                         , kat. BALLUFF             ,
IX24_02020501-DYST_ZAW-L        , IX24.02.02.05.01                , DYST_ZAW                               ,  3   , -L , ,                          ,                                         , kat. Festo               ,
UC-M7-TLUMIK-H                  , UC-M7                           , Tłumik hałasu(161418)                  ,  4   , -H , ,                          ,                                         ,                          ,
M8_KATOWA_BALLUFF               ,                                 , Wtyczka katowa M8                      ,  4 , AW5754              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
153321-QSM_M7_6_I-H             , QSM-M7-6-I                      , Złączka prosta M7/6(153321)            ,  2   , -H , ,                          ,                                         , Festo                    ,
186353-QSML_M7_6-H              , 186353                          , QSML-M7-6                              ,  2   , -H , ,                          ,                                         , kat. Balluff             ,
186355-QSMLL_M7_6-H             , 186355                          , QSMLL-M7-6                             ,  2   , -H , ,                          ,                                         , Festo                    ,
153154-QSY_8_6-H                , 153154                          , QSY-8-6                                ,  1   , -H , ,                          ,                                         , FESTO                    ,
IX24_02020002-DEKIEL-L          , IX24.02.02.00.02                , DEKIEL                                 ,  1   , -L , ,                          ,                                         , FESTO                    ,
IX24_02020003-DEKIELEK_ZAW-L    , IX24.02.02.00.03                , DEKIELEK_ZAW                           ,  2   , -L , ,                          ,                                         , FESTO                    ,
IX24_02020004-PL_CZUJ-L         , IX24.02.02.00.04                , PL_CZUJ                                ,  1   , -L , X5CRNI18-10         , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
NI10U_M12_AP6X_H1141-CZ_I-H     , NI10U-M12-AP6X-H1141            , Czujnik indukcyjny                     ,  1   , -H , X5CRNI18-10         , Brak / None              , Gratować w bębnie / Deburr              ,                          ,
NI10U_M12_AP6X_H1141-CZ_I-H2    ,                                 ,                                        ,  1   , H2 , AW5754              , Brak / None              , Zaczyścić włókniną / Satin wheel pad    ,                          ,
NI10U_M12_AP6X_H1141-CZ_I-H3    ,                                 ,                                        ,  2   , H3 , ,                          ,                                         , TURCK                    ,
NI10U_M12_AP6X_H1141-CZ_I-H4    ,                                 ,                                        ,  2   , H4 , ,                          ,                                         ,                          ,
ISO7380-M4X6-N                  , ISO 7380-1                      , Śruba soczewkowa M4x6/10.9 ocynk       ,  4   , -N , ,                          ,                                         ,                          ,
ISO7380-M5X12-N                 , ISO 7380-1                      , Śruba soczewkowa M5x12/10.9 ocynk      ,  4   , -N , ,                          ,                                         ,                          ,
DIN912-M6X12_88_OC-N            , PN-EN ISO 4762                  , Śruba walcowa M6x12/8.8 ocynk          ,  2   , -N , ,                          ,                                         , Fabory                   ,
KRC5_DUALCAB-SZAFA_KUKA-H       , KRC5                            , Kontroler robota                       ,  1   , -H , ,                          ,                                         , Fabory                   ,
                              ,                                 ,                               ,                           , , ,                          ,                                         , kat. Fabory              ,
                              ,                                 ,                               ,                           , , ,                          ,                                         , Kuka                     ,
